"start","end","hN_mm","iN_mean","iN_max","hN_max_60","DN_h"
2019-08-18 00:05:00,2019-08-18 11:20:00,13.13,0.0965441176470588,0.69,4.21,11.25
2019-08-20 16:40:00,2019-08-20 17:00:00,1.23,0.246,0.88,0,0.333333333333333
2019-08-29 02:10:00,2019-08-29 05:25:00,12.28,0.307,2.92,10.47,3.25
2019-08-31 19:45:00,2019-08-31 21:05:00,0.6,0.0352941176470588,0.31,0.5,1.33333333333333
2019-09-04 15:20:00,2019-09-04 17:45:00,1.87,0.0623333333333333,0.2,1.33,2.41666666666667
2019-09-07 03:00:00,2019-09-07 03:25:00,2.43,0.405,0.83,0,0.416666666666667
2019-09-11 13:55:00,2019-09-11 18:20:00,2.77,0.0512962962962963,0.43,1.7,4.41666666666667
2019-09-12 02:35:00,2019-09-12 02:50:00,0.57,0.1425,0.3,0,0.25
2019-09-13 06:45:00,2019-09-13 07:50:00,1.64,0.117142857142857,0.87,1.57,1.08333333333333
2019-09-16 02:25:00,2019-09-16 09:20:00,7.81,0.0929761904761905,0.28,1.98,6.91666666666667
2019-09-23 03:15:00,2019-09-23 07:45:00,2.86,0.052,0.39,1.36,4.5
2019-09-24 17:45:00,2019-09-24 18:55:00,0.76,0.0506666666666667,0.14,0.7,1.16666666666667
2019-09-24 21:45:00,2019-09-25 01:50:00,2.2,0.044,0.24,1.11,4.08333333333333
2019-09-25 21:50:00,2019-09-25 22:35:00,2.5,0.25,0.58,0,0.75
2019-09-26 10:30:00,2019-09-26 14:20:00,2.49,0.0529787234042553,0.43,1.74,3.83333333333333
2019-09-26 18:30:00,2019-09-26 23:00:00,6.91,0.125636363636364,0.62,4.67,4.5
2019-09-28 13:10:00,2019-09-28 13:20:00,0.09,0.03,0.05,0,0.166666666666667
2019-09-29 02:25:00,2019-09-30 03:40:00,26.72,0.0878947368421053,1.82,6.03,25.25
2019-09-30 23:55:00,2019-10-01 08:55:00,6.73,0.061743119266055,0.75,2.64,9
2019-10-01 21:55:00,2019-10-01 23:40:00,8.41,0.382272727272727,1.74,6.91,1.75
2019-10-02 21:50:00,2019-10-02 23:20:00,1.17,0.061578947368421,0.28,1.04,1.5
2019-10-03 10:10:00,2019-10-03 11:05:00,1.03,0.0858333333333333,0.25,1.03,0.916666666666667
2019-10-04 08:55:00,2019-10-04 17:50:00,15.36,0.142222222222222,0.75,6.16,8.91666666666667
2019-10-08 01:35:00,2019-10-08 07:15:00,4.97,0.0720289855072464,0.27,1.47,5.66666666666667
2019-10-09 10:45:00,2019-10-09 14:15:00,5.65,0.131395348837209,1.33,4.97,3.5
2019-10-09 19:55:00,2019-10-10 01:15:00,3.2,0.0492307692307692,0.42,2.16,5.33333333333333
2019-10-11 05:30:00,2019-10-11 06:45:00,0.58,0.03625,0.15,0.52,1.25
2019-10-13 20:05:00,2019-10-13 20:35:00,6.69,0.955714285714286,3.81,0,0.5
2019-10-15 15:55:00,2019-10-16 04:45:00,13.11,0.0845806451612903,0.9,3.12,12.8333333333333
2019-10-16 17:05:00,2019-10-16 23:45:00,2.9,0.0358024691358025,0.18,0.88,6.66666666666667
2019-10-17 06:20:00,2019-10-17 11:10:00,1.26,0.0213559322033898,0.16,0.94,4.83333333333333
2019-10-17 18:10:00,2019-10-17 20:05:00,0.8,0.0333333333333333,0.27,0.66,1.91666666666667
2019-10-18 11:20:00,2019-10-18 11:35:00,2.97,0.7425,1.47,0,0.25
2019-10-19 06:05:00,2019-10-19 09:20:00,0.4,0.01,0.16,0.32,3.25
2019-10-20 10:50:00,2019-10-20 23:40:00,10.83,0.0698709677419355,0.32,2.26,12.8333333333333
2019-10-27 01:20:00,2019-10-27 03:00:00,1.25,0.0595238095238095,0.17,1.05,1.66666666666667
2019-11-01 11:35:00,2019-11-01 15:25:00,2.37,0.0504255319148936,0.12,0.99,3.83333333333333
2019-11-01 17:10:00,2019-11-01 17:30:00,0.22,0.044,0.11,0,0.333333333333333
2019-11-01 22:10:00,2019-11-02 05:55:00,5.49,0.0584042553191489,0.78,3.82,7.75
2019-11-05 09:20:00,2019-11-05 12:10:00,3.28,0.0937142857142857,0.83,2.72,2.83333333333333
2019-11-06 01:50:00,2019-11-06 04:55:00,1.68,0.0442105263157895,0.11,0.75,3.08333333333333
2019-11-07 13:00:00,2019-11-07 14:55:00,1.72,0.0716666666666667,0.18,1.12,1.91666666666667
2019-11-12 09:30:00,2019-11-12 13:20:00,1.47,0.0312765957446808,0.3,1.02,3.83333333333333
2019-11-17 16:25:00,2019-11-18 03:05:00,11.54,0.0894573643410853,0.38,2.91,10.6666666666667
2019-11-18 13:20:00,2019-11-18 23:50:00,27.86,0.219370078740158,0.56,4.9,10.5
2019-11-19 03:25:00,2019-11-19 10:35:00,3.86,0.044367816091954,0.23,1.32,7.16666666666667
2019-11-22 07:15:00,2019-11-22 09:35:00,2.55,0.0879310344827586,0.27,1.44,2.33333333333333
2019-11-27 04:30:00,2019-11-27 04:50:00,0.52,0.104,0.25,0,0.333333333333333
2019-11-27 15:05:00,2019-11-27 23:15:00,3.16,0.0319191919191919,0.29,0.8,8.16666666666667
2019-11-28 06:15:00,2019-11-28 10:15:00,1.38,0.0281632653061225,0.13,0.56,4
2019-11-28 18:00:00,2019-11-28 22:05:00,2.02,0.0404,0.29,1.26,4.08333333333333
2019-11-29 15:00:00,2019-11-29 15:25:00,0.64,0.106666666666667,0.31,0,0.416666666666667
2019-12-02 22:40:00,2019-12-03 01:15:00,1.37,0.0428125,0.16,0.66,2.58333333333333
2019-12-06 07:20:00,2019-12-06 11:05:00,4.9,0.106521739130435,0.3,2.36,3.75
2019-12-06 21:00:00,2019-12-07 00:25:00,1.27,0.0302380952380952,0.17,0.65,3.41666666666667
2019-12-08 07:50:00,2019-12-08 13:45:00,2.61,0.03625,1.06,1.51,5.91666666666667
2019-12-08 21:05:00,2019-12-08 21:20:00,0.83,0.2075,0.51,0,0.25
2019-12-09 07:15:00,2019-12-09 08:45:00,0.93,0.0489473684210526,0.17,0.82,1.5
2019-12-09 13:15:00,2019-12-09 16:25:00,0.69,0.0176923076923077,0.11,0.52,3.16666666666667
2019-12-11 05:25:00,2019-12-11 13:30:00,4.83,0.0492857142857143,0.15,0.96,8.08333333333333
2019-12-13 10:30:00,2019-12-13 18:15:00,1.89,0.0201063829787234,0.11,0.57,7.75
2019-12-14 04:05:00,2019-12-14 07:30:00,4.11,0.0978571428571429,0.26,2.2,3.41666666666667
2019-12-14 15:15:00,2019-12-14 18:10:00,1.97,0.0547222222222222,0.54,1.02,2.91666666666667
2019-12-15 05:05:00,2019-12-15 06:25:00,3.07,0.180588235294118,0.64,2.85,1.33333333333333
2019-12-17 20:50:00,2019-12-17 22:35:00,2.76,0.125454545454545,0.27,2.12,1.75
2019-12-22 02:30:00,2019-12-22 03:30:00,1.1,0.0846153846153846,0.14,1.1,1
2019-12-22 12:55:00,2019-12-22 22:10:00,6.65,0.059375,0.29,2.09,9.25
2019-12-23 05:00:00,2019-12-23 05:05:00,0.07,0.035,0.07,0,0.0833333333333333
2019-12-24 09:25:00,2019-12-24 14:05:00,7.71,0.135263157894737,0.52,2.96,4.66666666666667
2019-12-25 02:35:00,2019-12-25 07:45:00,7.15,0.113492063492063,1.02,3.86,5.16666666666667
2020-01-03 12:30:00,2020-01-03 17:25:00,2.83,0.0471666666666667,0.22,1.24,4.91666666666667
2020-01-04 13:25:00,2020-01-04 17:25:00,1.83,0.0373469387755102,0.49,1.43,4
2020-01-07 01:30:00,2020-01-07 02:15:00,0.62,0.062,0.16,0,0.75
2020-01-08 09:50:00,2020-01-08 10:30:00,0.91,0.101111111111111,0.25,0,0.666666666666667
2020-01-08 11:50:00,2020-01-08 15:20:00,1.35,0.0313953488372093,0.27,0.94,3.5
2020-01-08 20:35:00,2020-01-09 01:40:00,1.12,0.0180645161290323,0.1,0.46,5.08333333333333
2020-01-09 22:25:00,2020-01-10 01:15:00,3.27,0.0934285714285714,0.34,2,2.83333333333333
2020-01-12 17:45:00,2020-01-12 22:05:00,2.69,0.0507547169811321,0.51,1.92,4.33333333333333
2020-01-14 04:10:00,2020-01-14 06:40:00,0.6,0.0193548387096774,0.07,0.33,2.5
2020-01-15 17:15:00,2020-01-15 17:50:00,0.32,0.04,0.08,0,0.583333333333333
2020-01-27 12:10:00,2020-01-27 15:50:00,1.03,0.0228888888888889,0.15,0.84,3.66666666666667
2020-01-27 22:40:00,2020-01-27 23:45:00,1.34,0.0957142857142857,0.18,1.3,1.08333333333333
2020-01-27 23:50:00,2020-01-28 04:10:00,0.91,0.0171698113207547,0.2,0.84,4.33333333333333
2020-01-28 06:55:00,2020-01-28 09:40:00,0.83,0.0244117647058824,0.19,0.69,2.75
2020-01-28 12:30:00,2020-01-28 12:45:00,0.45,0.1125,0.34,0,0.25
2020-01-28 15:55:00,2020-01-28 19:00:00,0.33,0.00868421052631579,0.12,0.23,3.08333333333333
2020-02-01 05:55:00,2020-02-01 08:55:00,1.35,0.0364864864864865,0.2,0.87,3
2020-02-02 08:30:00,2020-02-02 15:55:00,5.99,0.0665555555555555,0.22,2.01,7.41666666666667
